ID,NAME,Class,2005,2010,2015,2020
197,Pacific Lotus Joint-Stock,scrub,6741.269065,6742.271633,4734.885141,4474.015619
197,Pacific Lotus Joint-Stock,water,0,0,0,281.284399
198,Pacific Pearl Joint-Stock,crop,0,0,0,1.230683
198,Pacific Pearl Joint-Stock,grass,0,0,565.44243,566.009366
198,Pacific Pearl Joint-Stock,native forest,4758.932348,4758.932348,2968.758199,3163.937407
198,Pacific Pearl Joint-Stock,plantation,0,0,2996.239293,3079.31625
198,Pacific Pearl Joint-Stock,scrub,6460.374559,6460.319651,4741.092071,4421.657399
198,Pacific Pearl Joint-Stock,water,0,0,0,0.713546
200,Pacific Pride Joint-Stock,crop,0,0,0,279.982021
200,Pacific Pride Joint-Stock,grass,0,0,0,385.087621
200,Pacific Pride Joint-Stock,native forest,6001.863412,6001.799558,2354.267317,2164.155584
200,Pacific Pride Joint-Stock,plantation,0,0,5479.271773,5261.689156
200,Pacific Pride Joint-Stock,scrub,4887.449753,4887.443879,3328.43542,2814.547727
155,PDA (Cambodia),crop,0,0,1214.679438,3197.577677
155,PDA (Cambodia),native forest,700.290308,700.290301,838.126802,777.766106
155,PDA (Cambodia),plantation,0,71.981829,71.981829,71.981829
155,PDA (Cambodia),scrub,6282.926031,6212.641831,4869.229293,2948.853261
123,Phu Rieng - Kratie,crop,0,65.617501,252.283396,1127.81263
123,Phu Rieng - Kratie,grass,0,70.034429,0,0
123,Phu Rieng - Kratie,native forest,234.019407,218.69208,373.550277,398.104542
123,Phu Rieng - Kratie,plantation,0,0,0,19.188651
123,Phu Rieng - Kratie,plantation,0,5842.496461,7391.933745,7480.559409
123,Phu Rieng - Kratie,scrub,9698.437409,3742.756173,1932.35886,926.529368
5,Sal Sophea Peanich,crop,125.213281,510.984276,477.137738,477.137739
5,Sal Sophea Peanich,grass,0,597.617176,211.419902,211.419902
5,Sal Sophea Peanich,native forest,8424.943018,5739.23164,2963.775218,2963.775218
5,Sal Sophea Peanich,plantation,0,1655.512083,4722.968075,4722.968076
5,Sal Sophea Peanich,scrub,13.686699,28.4109,173.215045,173.215045
5,Sal Sophea Peanich,urban,0,31.123504,31.123504,31.123504
5,Sal Sophea Peanich,water,106.039455,106.039455,106.039455,106.039455
16,Sopheak Nika,crop,285.150137,690.23902,717.078476,675.013293
16,Sopheak Nika,grass,0,925.304666,1066.719912,1057.881117
16,Sopheak Nika,native forest,6469.020675,4241.578348,1261.900786,1444.559033
16,Sopheak Nika,plantation,0,1909.116895,4692.458848,4427.655354
16,Sopheak Nika,scrub,4045.649666,3038.045771,3051.271711,2862.607491
16,Sopheak Nika,urban,0,5.125152,5.125152,5.125152
16,Sopheak Nika,water,24.481095,24.481095,49.158916,382.891553
91,Tong Ming Group,crop,0,764.803474,1594.735019,2432.673022
91,Tong Ming Group,grass,316.828286,94.521496,820.782711,4.137803
91,Tong Ming Group,native forest,218.583168,218.583154,206.512683,206.512683
91,Tong Ming Group,scrub,7822.728991,7278.469911,5738.735964,5717.691831
91,Tong Ming Group,urban,0,1.863231,7.865441,7.865441
157,Unigreen Resources,grass,0,0,1179.316689,1528.444229
157,Unigreen Resources,native forest,3189.956112,3189.95611,3080.294939,3080.294972
157,Unigreen Resources,scrub,8527.239919,8527.239861,7457.584341,7108.456827
